place_id,name,link_review,URL,latitud,longitud,categoria
ChIJS5lcdLBVEZYRFa_Y_RuCV1g,Restaurant Puerto Fuy,https://www.google.com/maps/contrib/103326493536057771398/place/ChIJS5lcdLBVEZYRFa_Y_RuCV1g,https://www.google.com/maps/contrib/103326493536057771398/place/ChIJS5lcdLBVEZYRFa_Y_RuCV1g,-39.8732528,-71.8909606,Restaurante
ChIJc89ABXH8E5YR5RLLO0VLJ2Y,Eco Termas Pellaifa,https://www.google.com/maps/contrib/100149175052295745893/place/ChIJc89ABXH8E5YR5RLLO0VLJ2Y,https://www.google.com/maps/contrib/100149175052295745893/place/ChIJc89ABXH8E5YR5RLLO0VLJ2Y,-39.632076,-71.927857,Hotel
ChIJ__hwluDtFZYRpwlZLDHlsL0,Gohan Sushi & Shrimps,https://www.google.com/maps/contrib/101630091292093012497/place/ChIJ__hwluDtFZYRpwlZLDHlsL0,https://www.google.com/maps/contrib/101630091292093012497/place/ChIJ__hwluDtFZYRpwlZLDHlsL0,-39.8112068,-73.2466507,Restaurante
ChIJvQFsGXbuFZYRe4bz0f3Xomg,Cafe El Molino,https://www.google.com/maps/contrib/100983996035568942991/place/ChIJvQFsGXbuFZYRe4bz0f3Xomg,https://www.google.com/maps/contrib/100983996035568942991/place/ChIJvQFsGXbuFZYRe4bz0f3Xomg,-39.8129288,-73.2458834,Restaurante
ChIJ0UVnS0TuFZYRsCt4KpuQNpg,Parque Urbano El Bosque,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMzdjQ2SWdBRRAB!2m1!1s0x0:0x9836909b2a782bb0!3m1!1s2@1:CIHM0ogKEICAgIC3v46IgAE%7CCgwIg5fEuQYQsJzYtgM%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMzdjQ2SWdBRRAB!2m1!1s0x0:0x9836909b2a782bb0!3m1!1s2@1:CIHM0ogKEICAgIC3v46IgAE%7CCgwIg5fEuQYQsJzYtgM%7C?hl=en,-39.8400078,-73.245232,Park
ChIJqR29jT8KFJYR3mKDC5ruNa4,Lago Pellaifa,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURyazctNUVnEAE!2m1!1s0x0:0xae35ee9a0b8362de!3m1!1s2@1:CIHM0ogKEICAgIDrk7-5Eg%7CCgwI-uzrtAYQiKPiuAM%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURyazctNUVnEAE!2m1!1s0x0:0xae35ee9a0b8362de!3m1!1s2@1:CIHM0ogKEICAgIDrk7-5Eg%7CCgwI-uzrtAYQiKPiuAM%7C?hl=en,-39.5967314,-71.9780607,Beach
ChIJuwuAPHjuFZYRWIBXLtjuOys,Hotel Melillanca,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMzcjlHUkNnEAE!2m1!1s0x0:0x2b3beed82e578058!3m1!1s2@1:CIHM0ogKEICAgIC3r9GRCg%7CCgsIoODCuQYQ8JHIBw%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMzcjlHUkNnEAE!2m1!1s0x0:0x2b3beed82e578058!3m1!1s2@1:CIHM0ogKEICAgIC3r9GRCg%7CCgsIoODCuQYQ8JHIBw%7C?hl=en,-39.8134314,-73.2403697,Hotel
ChIJ-WsCdZP8E5YRlq3M8O6doQI,TERMAS HIPOLITO MUÑOZ,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMzMHJ1WldnEAE!2m1!1s0x0:0x2a19deef0ccad96!3m1!1s2@1:CIHM0ogKEICAgIC30ruZWg%7CCgwIrrOiuQYQuMTO2AI%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMzMHJ1WldnEAE!2m1!1s0x0:0x2a19deef0ccad96!3m1!1s2@1:CIHM0ogKEICAgIC30ruZWg%7CCgwIrrOiuQYQuMTO2AI%7C?hl=en,-39.7642878,-71.7930454,Mountain cabin
ChIJz6JOHSfvFZYRf7UTPCMEn_4,Fuente Valdiviana,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURYNVpfUE9BEAE!2m1!1s0x0:0xfe9f04233c13b57f!3m1!1s2@1:CIHM0ogKEICAgIDX5Z_POA%7CCgsIg92EuQYQkMfQcQ%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURYNVpfUE9BEAE!2m1!1s0x0:0xfe9f04233c13b57f!3m1!1s2@1:CIHM0ogKEICAgIDX5Z_POA%7CCgsIg92EuQYQkMfQcQ%7C?hl=en,-39.8162764,-73.2437707,Restaurant
ChIJtW86PuGWFpYRtiWMCk_L57o,Restaurant Don Floro,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQzaUptRThBRRAB!2m1!1s0x0:0xbae7cb4f0a8c25b6!3m1!1s2@1:CIHM0ogKEICAgID3iJmE8AE%7CCgwIt8vIuQYQ4JK-xAE%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQzaUptRThBRRAB!2m1!1s0x0:0xbae7cb4f0a8c25b6!3m1!1s2@1:CIHM0ogKEICAgID3iJmE8AE%7CCgwIt8vIuQYQ4JK-xAE%7C?hl=en,-40.1262044,-72.3982783,Chilean
ChIJD79D0aeME5YRgOQE05krUpM,Termas el Rincon,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMzOXQtMFRREAE!2m1!1s0x0:0x93522b99d304e480!3m1!1s2@1:CIHM0ogKEICAgIC39t-0TQ%7CCgwIvfPOuQYQ-Kb9mAM%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMzOXQtMFRREAE!2m1!1s0x0:0x93522b99d304e480!3m1!1s2@1:CIHM0ogKEICAgIC39t-0TQ%7CCgwIvfPOuQYQ-Kb9mAM%7C?hl=en,-39.5070882,-71.8543606,Thermal baths
ChIJsXmQWYFtFJYRzFEkXYpgPTk,Calafquén Lake,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNiNTVySEZREAE!2m1!1s0x0:0x393d608a5d2451cc!3m1!1s2@1:CIHM0ogKEICAgICb55rHFQ%7CCgsItsGktQYQoMeRZQ%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNiNTVySEZREAE!2m1!1s0x0:0x393d608a5d2451cc!3m1!1s2@1:CIHM0ogKEICAgICb55rHFQ%7CCgsItsGktQYQoMeRZQ%7C?hl=en,-39.5152318,-72.1534606,Lake
ChIJRUYqzcuUFpYRGmr3IDJEA3s,Ranco Lake,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURMbHJXT2dBRRAB!2m1!1s0x0:0x7b03443220f76a1a!3m1!1s2@1:CIHM0ogKEICAgIDLlrWOgAE%7CCgwIkun1swYQoPe6zwE%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURMbHJXT2dBRRAB!2m1!1s0x0:0x7b03443220f76a1a!3m1!1s2@1:CIHM0ogKEICAgIDLlrWOgAE%7CCgwIkun1swYQoPe6zwE%7C?hl=en,-40.1826442,-72.4021423,Lake
ChIJFZAcZcLtFZYRxnbV5wLNe2k,Puente Caucau,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMyOGYyRDNBRRAB!2m1!1s0x0:0x697bcd02e7d576c6!3m1!1s2@1:CIHM0ogKEICAgIC28f2D3AE%7CCgsImoPuuAYQwPqiaw%7C?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMyOGYyRDNBRRAB!2m1!1s0x0:0x697bcd02e7d576c6!3m1!1s2@1:CIHM0ogKEICAgIC28f2D3AE%7CCgsImoPuuAYQwPqiaw%7C?hl=en,-39.8009617,-73.2521763,Bridge
